time,setpoint,pressure,control_signal
8.8,50,52.7354,18.3478
8.85,50,52.7067,18.3371
8.9,50,52.6779,18.327
8.95,50,52.6492,18.3173
9,50,52.6205,18.3082
9.05,50,52.5918,18.2996
9.1,50,52.5632,18.2914
9.15,50,52.5346,18.2837
9.2,50,52.5062,18.2765
9.25,50,52.4778,18.2697
9.3,50,52.4494,18.2633
9.35,50,52.4212,18.2574
9.4,50,52.3931,18.2518
9.45,50,52.3651,18.2466
9.5,50,52.3372,18.2418
9.55,50,52.3094,18.2373
9.6,50,52.2817,18.2332
9.65,50,52.2542,18.2295
9.7,50,52.2268,18.2261
9.75,50,52.1996,18.223
9.8,50,52.1725,18.2202
9.85,50,52.1456,18.2177
9.9,50,52.1188,18.2155
9.95,50,52.0922,18.2135
10,70,53.7015,378.712
10.05,70,53.8932,29.7258
10.1,70,54.5375,52.4258
10.15,70,55.0142,44.2828
10.2,70,55.5293,46.3873
10.25,70,56.0149,45.1025
10.3,70,56.4938,44.9539
10.35,70,56.9589,44.4395
10.4,70,57.4129,44.0574
10.45,70,57.8551,43.6423
10.5,70,58.2862,43.2487
10.55,70,58.7062,42.8584
10.6,70,59.1155,42.4774
10.65,70,59.5142,42.1033
10.7,70,59.9026,41.7369
10.75,70,60.2808,41.3776
10.8,70,60.6492,41.0256
10.85,70,61.008,40.6806
10.9,70,61.3573,40.3425
10.95,70,61.6973,40.0113
11,70,62.0283,39.6867
11.05,70,62.3505,39.3686
11.1,70,62.664,39.057
11.15,70,62.9691,38.7518
11.2,70,63.2658,38.4527
11.25,70,63.5545,38.1598
11.3,70,63.8353,37.8729
11.35,70,64.1084,37.5919
11.4,70,64.3739,37.3166
11.45,70,64.6321,37.0471
11.5,70,64.883,36.7831
11.55,70,65.1269,36.5247
11.6,70,65.3638,36.2716
11.65,70,65.5941,36.0238
11.7,70,65.8178,35.7812
11.75,70,66.035,35.5436
11.8,70,66.246,35.3111
11.85,70,66.4508,35.0835
11.9,70,66.6496,34.8608
11.95,70,66.8426,34.6427
12,70,67.0299,34.4293
12.05,70,67.2116,34.2205
12.1,70,67.3878,34.0161
12.15,70,67.5587,33.8162
12.2,70,67.7244,33.6205
12.25,70,67.8851,33.4291
12.3,70,68.0408,33.2418
12.35,70,68.1916,33.0586
12.4,70,68.3378,32.8794
12.45,70,68.4793,32.7041
12.5,70,68.6164,32.5326
12.55,70,68.7491,32.365
12.6,70,68.8775,32.201
12.65,70,69.0017,32.0406
12.7,70,69.1219,31.8838
12.75,70,69.2381,31.7305
12.8,70,69.3504,31.5807
12.85,70,69.4589,31.4342
12.9,70,69.5638,31.2909
12.95,70,69.6651,31.151
13,70,69.7629,31.0141
13.05,70,69.8573,30.8804
13.1,70,69.9484,30.7497
13.15,70,70.0362,30.622
13.2,70,70.1209,30.4973
13.25,70,70.2025,30.3754
13.3,70,70.2811,30.2563
13.35,70,70.3568,30.1399
13.4,70,70.4296,30.0263
13.45,70,70.4997,29.9153
13.5,70,70.5671,29.8069
13.55,70,70.6318,29.701
13.6,70,70.6941,29.5977
13.65,70,70.7538,29.4967
13.7,70,70.8111,29.3982
13.75,70,70.8661,29.302
13.8,70,70.9187,29.2081
13.85,70,70.9692,29.1164
13.9,70,71.0174,29.027
13.95,70,71.0636,28.9397
14,70,71.1077,28.8545
14.05,70,71.1498,28.7714
14.1,70,71.19,28.6903
14.15,70,71.2283,28.6112
14.2,70,71.2648,28.534
14.25,70,71.2995,28.4587
14.3,70,71.3324,28.3853
14.35,70,71.3637,28.3138
14.4,70,71.3934,28.244
14.45,70,71.4214,28.1759
14.5,70,71.448,28.1096
14.55,70,71.473,28.0449
14.6,70,71.4966,27.9819
14.65,70,71.5188,27.9205
14.7,70,71.5396,27.8606
14.75,70,71.5591,27.8023
14.8,70,71.5773,27.7455
14.85,70,71.5943,27.6901
14.9,70,71.6101,27.6362
14.95,70,71.6246,27.5837
15,70,71.6381,27.5326
15.05,70,71.6505,27.4828
15.1,70,71.6618,27.4344
15.15,70,71.6721,27.3872
15.2,70,71.6814,27.3413
15.25,70,71.6897,27.2966
15.3,70,71.6971,27.2531
15.35,70,71.7036,27.2108
15.4,70,71.7092,27.1697
15.45,70,71.714,27.1297
15.5,70,71.7179,27.0908
15.55,70,71.7211,27.0529
15.6,70,71.7235,27.0161
15.65,70,71.7252,26.9804
15.7,70,71.7262,26.9456
15.75,70,71.7264,26.9118
15.8,70,71.7261,26.879
15.85,70,71.7251,26.8471
15.9,70,71.7235,26.8162
15.95,70,71.7213,26.7861
16,70,71.7185,26.7569
16.05,70,71.7152,26.7286
16.1,70,71.7113,26.7011
16.15,70,71.707,26.6744
16.2,70,71.7021,26.6485
16.25,70,71.6968,26.6233
16.3,70,71.6911,26.599
16.35,70,71.6849,26.5754
16.4,70,71.6783,26.5525
16.45,70,71.6714,26.5303
16.5,70,71.664,26.5087
16.55,70,71.6563,26.4879
16.6,70,71.6482,26.4677
16.65,70,71.6398,26.4482
16.7,70,71.6311,26.4293
16.75,70,71.6221,26.411
16.8,70,71.6128,26.3933
16.85,70,71.6032,26.3761
16.9,70,71.5934,26.3596
16.95,70,71.5833,26.3435
17,70,71.573,26.3281
17.05,70,71.5624,26.3131
17.1,70,71.5517,26.2987
17.15,70,71.5408,26.2847
17.2,70,71.5296,26.2713
17.25,70,71.5183,26.2583
17.3,70,71.5068,26.2458
17.35,70,71.4952,26.2337
17.4,70,71.4834,26.222
17.45,70,71.4715,26.2108
17.5,70,71.4595,26.2
17.55,70,71.4473,26.1896
17.6,70,71.4351,26.1796
17.65,70,71.4227,26.17
17.7,70,71.4103,26.1608
17.75,70,71.3977,26.1519
17.8,70,71.3851,26.1434
17.85,70,71.3724,26.1352
17.9,70,71.3597,26.1274
17.95,70,71.3469,26.1199
18,70,71.334,26.1127
18.05,70,71.3211,26.1058
18.1,70,71.3082,26.0992
18.15,70,71.2953,26.0929
18.2,70,71.2823,26.0869
18.25,70,71.2693,26.0812
18.3,70,71.2563,26.0757
18.35,70,71.2433,26.0705
18.4,70,71.2303,26.0655
18.45,70,71.2173,26.0608
18.5,70,71.2043,26.0564
18.55,70,71.1913,26.0521
18.6,70,71.1783,26.0481
18.65,70,71.1653,26.0443
18.7,70,71.1524,26.0408
18.75,70,71.1395,26.0374
18.8,70,71.1267,26.0342
